Source, Target, Transformation
$.userId, $.user_profile.userId, Retrieved using fetchUserId and assigned directly.
$.user_profile.name, $.user_profile.userName, Retrieved using setIfExists within processUserProfile.
$.user_profile.email, $.user_profile.email, Retrieved using setIfExists within processUserProfile.
$.user_profile.address, $.user_profile.address, Retrieved using setIfExists within processUserProfile.
$.contacts[*].type, $.user_profile.contacts[*].type, Retrieved using getContacts, iterated in processContacts, and assigned using setIfExists.
$.contacts[*].number, $.user_profile.contacts[*].number, Retrieved using getContacts, iterated in processContacts, and assigned using setIfExists.
$.preferences.language, $.user_profile.preferences.language, Retrieved using setIfExists within processPreferences.
$.preferences.timezone, $.user_profile.preferences.timezone, Retrieved using setIfExists within processPreferences.
$.preferences.currency, $.user_profile.preferences.currency, Retrieved using setIfExists within processPreferences.
$.billing.cardType, $.user_profile.billingDetails.cardType, Retrieved using setIfExists within processBillingDetails.
$.billing.cardNumber, $.user_profile.billingDetails.cardNumber, Retrieved using setIfExists within processBillingDetails.
$.billing.expiryDate, $.user_profile.billingDetails.expiryDate, Retrieved using setIfExists within processBillingDetails.
$.billing.billingAddress, $.user_profile.billingDetails.billingAddress, Retrieved using setIfExists within processBillingDetails.
$.subscription.plan, $.user_profile.subscriptionInfo.plan, Retrieved using setIfExists within processSubscriptionInfo.
$.subscription.start, $.user_profile.subscriptionInfo.subscriptionStart, Retrieved using setIfExists within processSubscriptionInfo.
$.subscription.end, $.user_profile.subscriptionInfo.subscriptionEnd, Retrieved using setIfExists within processSubscriptionInfo.
$.customAttributes.loyaltyTier, $.user_profile.customAttributes.loyaltyTier, Retrieved using setIfExists within processCustomAttributes.
$.customAttributes.accountStatus, $.user_profile.customAttributes.accountStatus, Retrieved using setIfExists within processCustomAttributes.
$.customAttributes.preferencesUpdatedAt, $.user_profile.customAttributes.preferencesUpdatedAt, Retrieved using setIfExists within processCustomAttributes.
$.settings.notificationsEnabled, $.settings.notificationsEnabled, Retrieved using setIfExists within processUserSettings.
$.settings.theme, $.settings.theme, Retrieved using setIfExists within processUserSettings.
$.settings.darkMode, $.settings.darkMode, Retrieved using setIfExists within processUserSettings.
$.transactions[*].transactionId, $.transactions[*].transactionId, Retrieved using getTransactionHistory, iterated in processTransactionHistory, and assigned using setIfExists.
$.transactions[*].amount, $.transactions[*].amount, Retrieved using getTransactionHistory, iterated in processTransactionHistory, and assigned using setIfExists.
$.transactions[*].date, $.transactions[*].date, Retrieved using getTransactionHistory, iterated in processTransactionHistory, and assigned using setIfExists.
$.analytics.loginCount, $.analytics.loginCount, Retrieved using setIfExists within processAnalyticsData.
$.analytics.lastLogin, $.analytics.lastLogin, Retrieved using setIfExists within processAnalyticsData.
$.analytics.totalPurchases, $.analytics.totalPurchases, Retrieved using setIfExists within processAnalyticsData.
$.analytics.timeSpent, $.analytics.timeSpent, Retrieved using setIfExists within processAnalyticsData.
$.metadata.sourceSystem, $.metadata.sourceSystem, Retrieved using setIfExists within processMetadata.
[EOS]
