Source,Target,Transformation
userId,user_profile.userId,"In fetchUserId, userId retrieved from inputData if exists, else generated as ""USER-"" + System.nanoTime(), then set in processUserProfile"
userName,user_profile.name,"Retrieved from inputData using setIfExists in processUserProfile, then set into userProfile"
email,user_profile.email,"Retrieved from inputData using setIfExists in processUserProfile, then set into userProfile"
address,user_profile.address,"Retrieved from inputData using setIfExists in processUserProfile, then set into userProfile"
contacts[*].type,user_profile.contacts[*].contact.type,"For each contact in contacts from inputData, 'type' retrieved using setIfExists in processContacts, then set into contactNode, added to userProfile.contacts array"
contacts[*].number,user_profile.contacts[*].contact.number,"For each contact in contacts from inputData, 'number' retrieved using setIfExists in processContacts, then set into contactNode, added to userProfile.contacts array"
preferences.language,user_profile.preferences.language,"Retrieved from inputData using setIfExists in processPreferences, then set into preferences, added to userProfile"
preferences.timezone,user_profile.preferences.timezone,"Retrieved from inputData using setIfExists in processPreferences, then set into preferences, added to userProfile"
preferences.currency,user_profile.preferences.currency,"Retrieved from inputData using setIfExists in processPreferences, then set into preferences, added to userProfile"
billing.cardType,user_profile.billingDetails.cardType,"Retrieved from inputData using setIfExists in processBillingDetails, then set into billingDetails, added to userProfile"
billing.cardNumber,user_profile.billingDetails.cardNumber,"Retrieved from inputData using setIfExists in processBillingDetails, then set into billingDetails, added to userProfile"
billing.expiryDate,user_profile.billingDetails.expiryDate,"Retrieved from inputData using setIfExists in processBillingDetails, then set into billingDetails, added to userProfile"
billing.billingAddress,user_profile.billingDetails.billingAddress,"Retrieved from inputData using setIfExists in processBillingDetails, then set into billingDetails, added to userProfile"
subscription.plan,user_profile.subscriptionInfo.plan,"Retrieved from inputData using setIfExists in processSubscriptionInfo, then set into subscriptionInfo, added to userProfile"
subscription.subscriptionStart,user_profile.subscriptionInfo.start,"Retrieved from inputData using setIfExists in processSubscriptionInfo, then set into subscriptionInfo, added to userProfile"
subscription.subscriptionEnd,user_profile.subscriptionInfo.end,"Retrieved from inputData using setIfExists in processSubscriptionInfo, then set into subscriptionInfo, added to userProfile"
loyaltyTier,user_profile.customAttributes.loyaltyTier,"Retrieved from inputData using setIfExists in processCustomAttributes, then set into customAttributes, added to userProfile"
accountStatus,user_profile.customAttributes.accountStatus,"Retrieved from inputData using setIfExists in processCustomAttributes, then set into customAttributes, added to userProfile"
preferencesUpdatedAt,user_profile.customAttributes.preferencesUpdatedAt,"Retrieved from inputData using setIfExists in processCustomAttributes, then set into customAttributes, added to userProfile"
notificationsEnabled,settings.notificationsEnabled,"Retrieved from inputData using setIfExists in processUserSettings, then set into settings"
theme,settings.theme,"Retrieved from inputData using setIfExists in processUserSettings, then set into settings"
darkMode,settings.darkMode,"Retrieved from inputData using setIfExists in processUserSettings, then set into settings"
transactions[*].transactionId,transactions[*].transactionId,"For each transaction in transactions from inputData, 'transactionId' retrieved using setIfExists in processTransactionHistory, then set into transactionNode, added to transactions array"
transactions[*].amount,transactions[*].amount,"For each transaction in transactions from inputData, 'amount' retrieved using setIfExists in processTransactionHistory, then set into transactionNode, added to transactions array"
transactions[*].date,transactions[*].date,"For each transaction in transactions from inputData, 'date' retrieved using setIfExists in processTransactionHistory, then set into transactionNode, added to transactions array"
loginCount,analytics.loginCount,"Retrieved from inputData using setIfExists in processAnalyticsData, then set into analytics"
lastLogin,analytics.lastLogin,"Retrieved from inputData using setIfExists in processAnalyticsData, then set into analytics"
totalPurchases,analytics.totalPurchases,"Retrieved from inputData using setIfExists in processAnalyticsData, then set into analytics"
timeSpent,analytics.timeSpent,"Retrieved from inputData using setIfExists in processAnalyticsData, then set into analytics"
sourceSystem,metadata.sourceSystem,"Retrieved from inputData using setIfExists in processMetadata, then set into metadata"

